rating,name,area,cuisine_type,price,cuisine_region,address
"                    -
                ",Le - Zat Beach Restaurant d ,Candidasa,Casual Dining,"                        Rp400.000 
                                    
        ","  Eropa, Barat, Asia"," Jl. Raya Candidasa, Candidasa, Bali"
"                    -
                ",Eddie's ,Uluwatu,Quick Bites,"                        Rp150.000 
                                    
        ",  Makanan Cepat Saji," Jl. Balangan, Uluwatu, Bali"
"                    -
                ",Berawa Beach Tavern ,Canggu,Kafe,"                        Rp200.000 
                                    
        ",  Kafe," Jl. Perancak, Canggu, Bali"
"                    -
                ",Kulkul Bar - The Laguna ,"The Laguna, Nusa Dua",Bar,"                        Rp300.000 
                                    
        ",  Cemilan," The Laguna, BTDC Area, Nusa Dua, Bali"
"                    -
                ",Beten Waru ,Amed,Quick Bites,"                        Rp120.000 
                                    
        ",  Indonesia," Jl. Raya Amed, Amed, Bali"
"                    -
                ",Hulas Cafe - Aston Tuban Inn ,Tuban,Casual Dining,"                        Rp300.000 
                                    
        ","  Asia, Barat"," Aston Tuban Inn, Jl. Kediri, Tuban, Bali"
"                    -
                ",Fortuna Warung ,Ubud,Quick Bites,"                        Rp100.000 
                                    
        ","  Bali, Cina"," Jl. Kajeng No. 17, Ubud, Bali"
"                    -
                ",Husk Restaurant - The Royal Beach Seminyak ,"The Royal Beach Seminyak, Seminyak",,"                        Rp500.000 
                                    
        ",Masakan: Asia," The Royal Beach Seminyak, Jl. Camplung Tanduk..."
"                    -
                ",The Taman Ayu Cafe - The Taman Ayu ,Seminyak,Kafe,"                        Rp150.000 
                                    
        ",  Kafe," The Taman Ayu, Jl. Petitenget, Seminyak, Bali"
"                    -
                ",Cafe Blossom ,Ubud,Kafe,"                        Rp100.000 
                                    
        ",  Kafe," Jl. Dewi Sita, Ubud, Bali"
"                    -
                ",Tirta Restaurant - Prama Beach Sanur ,"Prama Sanur Beach, Sanur",Casual Dining,"                        Rp230.000 
                                    
        ","  Barat, Asia"," Prama Sanur Beach, Jl. Danau Tamblingan, Sanur, Bali"
"                    -
                ",Holiday Inn Restaurant - Holiday Inn Express ,Kuta,Casual Dining,"                        Rp200.000 
                                    
        ",  Kontinental," Holiday Inn Express, Jl. Ciung Wanara No. 17, Kuta, Bali"
"                    -
                ",Cafetaria Rest Area ,Bedugul,Quick Bites,"                        Rp125.000 
                                    
        ",  Indonesia," Jl. Raya Bedugul, Bedugul, Bali"
"                    -
                ",Mama Putu ,Sanur,Casual Dining,"                        Rp240.000 
                                    
        ",  Bali," Jl. Mertasari No. 53, Sanur, Bali"
"                    -
                ",Masakan Jawa ,Kintamani,Quick Bites,"                        Rp100.000 
                                    
        ",  Jawa," Jl. Kedisan, Kintamani, Bali"
"                    -
                ",Dewata Cafe ,Jimbaran,Casual Dining,"                        Rp400.000 
                                    
        ","  Hidangan Laut, Bali"," Pantai Jimbaran, Jl. Pantai Jimbaran, Jimbaran, Bali"
"                    -
                ",The Paon ,Ubud,Casual Dining,"                        Rp180.000 
                                    
        ","  Hidangan Laut, Bali, Indonesia"," Jl. Raya Ubud, Ubud, Bali"
"                    -
                ",Joglo Bar & Restaurant ,Candidasa,Casual Dining,"                        Rp200.000 
                                    
        ","  Bali, Barat, Indonesia"," Jl. Raya Candidasa, Candidasa, Bali"
"                    -
                ",The French Kitchen ,Seminyak,Casual Dining,"                        Rp200.000 
                                    
        ",  Perancis," Jl. Petitenget, Seminyak, Bali"
"                    -
                ",Seruput ,"Town Square, Legian",Casual Dining,"                        Rp240.000 
                                    
        ","  Indonesia, Barat"," Town Square, Jl. Nakula, Legian, Bali"
"                    -
                ",Sarinbuana Eco Lodge ,Tabanan,Quick Bites,"                        Rp250.000 
                                    
        ",  Bali," Jl. Arjuna, Banjar Biyahan, Tabanan, Bali"
"                    -
                ",Cafe Gayatri ,Ubud,Casual Dining,"                        Rp200.000 
                                    
        ","  Indonesia, Itali, Mediterania"," Jl. Monkey Forest No. 10, Ubud, Bali"
"                    -
                ",Waroeng Boemboe Mertua ,Nusa Dua,Casual Dining,"                        Rp220.000 
                                    
        ","  Indonesia, Jawa, Cina"," Jl. By Pass Ngurah Rai No. 145, Nusa Dua, Bali"
